Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
25500PLN,Osoby prywatnej,Osobowe,Ford,Mondeo,2012,181 705 km,1 560 cm3,Diesel,115 KM,Manualna,Na przednie koła,Sedan,5,5,Czarny,Tak,Używane,1.6 TDCi Gold X,Mk4 (2007-2014),Tak,,,,,,,,,Polska,,,,,,,,,,,,,,,,,,,,
37000PLN,Firmy,Osobowe,Kia,Ceed,2015,147 033 km,1 368 cm3,Benzyna+LPG,100 KM,Manualna,Na przednie koła,Kombi,5,5,Beżowy,Tak,Używane,,II (2012-),Tak,27/08/2015,,,Tak,,Tak,,,Polska,,,220 PLN,,,,,,,,,,,,,,,,,
46900PLN,Osoby prywatnej,Osobowe,Audi,A4,2013,164 399 km,2 967 cm3,Diesel,204 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,Używane,,B8 (2007-2015),,26/06/2013,Tak,,Tak,,,,Tak,Niemcy,,Tak,,,Tak,,,,Tak,,,,,,,,,,,
15900PLN,Osoby prywatnej,Osobowe,Chevrolet,Epica,2010,179 000 km,1 991 cm3,Diesel,150 KM,Automatyczna,,Sedan,4,5,Inny kolor,,Używane,2.0 d LT,,Tak,,Tak,,Tak,,,,,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
295000PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,Klasa G,2015,52 900 km,2 987 cm3,Diesel,211 KM,Automatyczna,4x4 (stały),SUV,5,5,Srebrny,Tak,Używane,350 BlueTec L,W463 (1992-2018),Tak,,Tak,,,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
12900PLN,Osoby prywatnej,Osobowe,Fiat,Grande Punto,2010,177 000 km,1 368 cm3,Benzyna+LPG,77 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Srebrny,Tak,Używane,Gr 1.4 8V Dynamic,,Tak,13/05/2010,,,Tak,,,WG,Tak,Polska,Tak,Tak,,,,,,,,,,,,,,,,,,
35800PLN,Osoby prywatnej,Osobowe,Audi,A4,2010,176 000 km,1 798 cm3,Benzyna,160 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,Używane,ver-1-8-tfsi,B8 (2007-2015),,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
44000PLN,Firmy,Osobowe,BMW,Seria 1,2011,127 532 km,1 598 cm3,Benzyna,170 KM,Manualna,Na tylne koła,Kompakt,5,5,Czarny,Tak,Używane,,F20/F21 (2011-),Tak,31/08/2011,Tak,118,Tak,,Tak,,Tak,,,,262 PLN,,,,,,,,,,,,,,,,,
37400PLN,Firmy,Osobowe,Mini,Countryman,2013,143 018 km,1 598 cm3,Benzyna,98 KM,Manualna,Na przednie koła,SUV,5,5,Biały,Tak,Używane,,,,07/11/2013,Tak,,Tak,,,PO752XL,Tak,Polska,Tak,Tak,,,,,,,,,,,,,,,,,,
3200PLN,Osoby prywatnej,Osobowe,Chevrolet,Spark,2008,203 250 km,796 cm3,Benzyna,52 KM,Manualna,,Auta małe,5,5,Niebieski,,Używane,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,
